pod,permit_num,assigned_pod_1,assigned_pod_2,assigned_pod_3,assigned_pod_4,assigned_pod_5
15105523D,586,15105523A,,,,
14905409DB,1114,,,,,
15105423ADD,1563,15105423AC,15105423DA,15105423ADB,,
15005419B,3240,,,,,
15105523D,4029,15105523A,,,,
15405531D,4339,15405531C,15405532C,,,
15105408C,4876,15105408D,,,,
15005308B,4823,15105331C,,,,
15105514DC,586A,15105513B,15105513C,15105513D,15105524C,155105524N
15305517AN,4302,15305508D,,,,
15005410C,4859,15005410D,,,,
15105513A,586A,15105513B,15105513C,15105513D,15105524C,155105524N
